"Data Source","World Development Indicators",

"Last Updated Date","2018-09-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Montenegro","MNE","Vulnerable employment, male (% of male employment) (modeled ILO estimate)","SL.EMP.VULN.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.4320002794266","11.6969996094704","10.8839998245239","14.1580002307892","13.7529995441436","23.0919995307923","17.4120004177094","17.475999712944","16.2209995985031","19.5550007820129","17.3769998550415","17.706000328064","18.4950008392334","18.9270008802414","19.6710008382798","22.7110008001328","22.1530007123947","22.5230000019073","21.0509994029999","19.9220006465912","12.6059998273849","11.6910002231598","14.4679996967316","14.6489998102188","13.849999666214","13.6949999332428","13.8080002069473",
"Montenegro","MNE","Vulnerable employment, female (% of female employment) (modeled ILO estimate)","SL.EMP.VULN.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.20400023460388","7.23500001430511","6.15699988603592","11.3140001296997","10.7479996681213","23.0019998550415","14.2200000286102","14.414999961853","12.6940004825592","16.6350002288818","14.0699999332428","14.3500001430511","14.4590003490448","14.6040003299713","14.6610000133514","16.9149997234345","16.1310000419616","13.4950003623962","10.5760002136231","10.1139999628067","6.61500006914139","6.65400004386902","9.32299971580505","9.03600001335144","9.43099999427796","9.34300017356873","9.59100008010864",
"Montenegro","MNE","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.6650009155273","39.1440010070801","39.1380004882813","35.8730010986328","36.564998626709","35.0559997558594","36.726001739502","36.3499984741211","37.0750007629395","34.9529991149902","36.0559997558594","35.8160018920898","35.6310005187988","35.3330001831055","35.2900009155273","37.9179992675781","40.5029983520508","41.4539985656738","40.2569999694824","39.701000213623","39.3950004577637","39.6710014343262","39.6660003662109","40.2449989318848","40.3170013427734","40.0620002746582","40.6520004272461",
"Montenegro","MNE","Employment to population ratio, 15+, total (%) (national estimate)","SL.EMP.TOTL.SP.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.7000007629395","43.2000007629395","41.2999992370605","40.038501739502","38.9813995361328","39.8553009033203","40.3158988952637","43.2004013061523","","","45.8763999938965",
"Montenegro","MNE","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.3429985046387","47.9230003356934","47.8199996948242","44.2669982910156","45.2649993896484","43.3619995117188","45.625","44.9900016784668","45.8359985351563","43.1570014953613","44.6380004882813","44.3219985961914","44.0800018310547","43.6629981994629","43.5870018005371","45.6559982299805","47.6069984436035","48.3139991760254","46.931999206543","45.923999786377","45.0320014953613","45.5709991455078","44.9339981079102","45.9749984741211","45.5110015869141","45.2919998168945","46.5730018615723",
"Montenegro","MNE","Employment to population ratio, 15+, male (%) (national estimate)","SL.EMP.TOTL.SP.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.0999984741211","50.7000007629395","48.5999984741211","46.9995002746582","45.0455017089844","45.1764984130859","45.4397010803223","48.8754997253418","","","52.6456985473633",
"Montenegro","MNE","Employment to population ratio, 15+, female (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.2889995574951","30.6690006256104","30.7660007476807","27.7929992675781","28.2059993743896","27.0919990539551","28.2110004425049","28.0990009307861","28.7250003814697","27.1509990692139","27.9139995574951","27.7670001983643","27.6550006866455","27.4829998016357","27.4780006408691","30.6310005187988","33.8059997558594","34.976001739502","33.9420013427734","33.806999206543","34.0499992370605","34.0719985961914","34.6619987487793","34.798999786377","35.3790016174316","35.0849990844727","35.0120010375977",
"Montenegro","MNE","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.7999992370605","36.0999984741211","34.4000015258789","33.4362983703613","33.2131996154785","34.8012008666992","35.4364013671875","37.7947998046875","","","39.4136009216309",
"Montenegro","MNE","Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.6599998474121","24.6200008392334","","","25.4200000762939",
"Montenegro","MNE","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.2280006408691","17.8560009002686","15.2740001678467","29.1200008392334","28.3939990997314","43.7229995727539","32.7239990234375","33.3079986572266","29.9930000305176","35.867000579834","32.4119987487793","32.6839981079102","32.3330001831055","32.5919990539551","32.1980018615723","27.2549991607666","26.4519996643066","25.7889995574951","22.4599990844727","22.1770000457764","16.4260005950928","18.1870002746582","20.5189990997314","20.1079998016357","20.9249992370605","20.8990001678467","21.3190002441406",
"Montenegro","MNE","Self-employed, male (% of male employment) (modeled ILO estimate)","SL.EMP.SELF.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.6049995422363","21.5380001068115","19.1569995880127","33.4500007629395","32.7589988708496","45.9410018920898","36.4640007019043","36.9090003967285","34.0410003662109","39.5579986572266","36.2560005187988","36.5849990844727","36.617000579834","36.9550018310547","36.9220008850098","30.8850002288818","30.1989994049072","30.8120002746582","28.2369995117188","27.6580009460449","20.5510005950928","22.5699996948242","25.3339996337891","25.0809993743896","25.3719997406006","25.2779998779297","25.5709991455078",
"Montenegro","MNE","Self-employed, female (% of female employment) (modeled ILO estimate)","SL.EMP.SELF.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.1319999694824","12.3030004501343","9.45600032806396","22.4820003509521","21.6639995574951","40.318000793457","26.9349994659424","27.8020000457764","23.8349990844727","30.2880001068115","26.5799999237061","26.7919998168945","25.8880004882813","26.0599994659424","25.1420001983643","22.1599998474121","21.4780006408691","19.2369995117188","14.9040002822876","15.125","11.2519998550415","12.6230001449585","14.5909996032715","13.8640003204346","15.4849996566772","15.5179996490479","15.9300003051758",
"Montenegro","MNE","Employers, total (% of total employment) (modeled ILO estimate)","SL.EMP.MPYR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.4809999465942","7.93800020217896","6.28200006484985","16.0849990844727","15.8229999542236","20.6660003662109","16.5650005340576","17.0419998168945","15.1709995269775","17.4750003814697","16.3479995727539","16.3150005340576","15.4490003585815","15.3959999084473","14.53600025177","6.95499992370605","6.88600015640259","7.18400001525879","5.94700002670288","6.54400014877319","6.47800016403198","8.71599960327148","8.35700035095215","7.94700002670288","9.0620002746582","9.1569995880127","9.37100028991699",
"Montenegro","MNE","Employers, male (% of male employment) (modeled ILO estimate)","SL.EMP.MPYR.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.173999786377","9.84099960327148","8.27299976348877","19.2919998168945","19.0060005187988","22.8479995727539","19.05299949646","19.4330005645752","17.8199996948242","20.0030002593994","18.8780002593994","18.878999710083","18.1219997406006","18.0279998779297","17.2509994506836","8.17300033569336","8.04500007629395","8.28899955749512","7.18499994277954","7.73600006103516","7.94500017166138","10.878999710083","10.8660001754761","10.4309997558594","11.5220003128052","11.5830001831055","11.7629995346069",
