"Data Source","World Development Indicators",

"Last Updated Date","2018-09-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Macedonia, FYR","MKD","Vulnerable employment, male (% of male employment) (modeled ILO estimate)","SL.EMP.VULN.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.6339994668961","19.081000328064","20.707000374794","24.2300009727478","24.633999824524","25.3609998226166","22.811000585556","23.6009995937347","24.4060006141662","28.3960007429123","27.3399990797043","28.823999285698","27.5069998502731","29.092000246048","29.3829995393753","28.7299996614456","29.6290001869202","30.0959991216659","29.2390004396438","28.5750006437302","27.9239993095398","27.7539998292923","27.8340007066727","27.4770001173019","27.3160004615784","25.3289999961853","23.0350003242493",
"Macedonia, FYR","MKD","Vulnerable employment, female (% of female employment) (modeled ILO estimate)","SL.EMP.VULN.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.3150000572204","18.9520001411438","16.098000049591","18.3219995498657","18.4949996471405","19.1829996109009","19.125","19.9869995117188","20.0549998283386","19.719000339508","17.6080000400543","19.1970002651214","19.7320001125336","20.5550003051758","19.662999868393","19.241000175476","19.7630004882813","21.1710000038147","19.1650006771088","19.6989994049073","18.9850008487701","18.2339992523193","19.4439997673034","19.6860001087189","19.6040003299713","18.405999660492","16.8280000686646",
"Macedonia, FYR","MKD","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.5509986877441","35.5499992370605","35.4360008239746","35.1829986572266","35.1360015869141","34.8199996948242","34.5970001220703","35.0750007629395","35.8740005493164","36.0180015563965","36.9539985656738","36.2560005187988","33.9020004272461","32.1790008544922","33.1559982299805","34.5289993286133","35.4300003051758","36.4580001831055","37.5699996948242","37.8160018920898","38.0589981079102","38.0250015258789","39.5839996337891","40.2190017700195","41.0429992675781","41.9309997558594","42.6599998474121",
"Macedonia, FYR","MKD","Employment to population ratio, 15+, total (%) (national estimate)","SL.EMP.TOTL.SP.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.7999992370605","38.7000007629395","40.2999992370605","35.9099998474121","35.8400001525879","38.560001373291","35.8199996948242","34.5099983215332","","","34.556999206543","35.4729995727539","36.5091018676758","37.6258010864258","37.8596992492676","38.0726013183594","38.0551986694336","39.6523017883301","40.2482986450195","40.9440994262695","41.8648986816406","42.7942008972168",
"Macedonia, FYR","MKD","Employment to population ratio, 15+, male (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.4990005493164","44.5209999084473","44.3030014038086","44.1660003662109","44.359001159668","44.2130012512207","44.0779991149902","44.5610008239746","44.7550010681152","45.4770011901855","45.923999786377","44.3530006408691","40.8240013122559","39.6119995117188","40.523998260498","42.8899993896484","43.3289985656738","44.9860000610352","46.7360000610352","46.7529983520508","46.1580009460449","46.185001373291","47.7669982910156","49.1870002746582","49.5550003051758","51.234001159668","52.2270011901855",
"Macedonia, FYR","MKD","Employment to population ratio, 15+, male (%) (national estimate)","SL.EMP.TOTL.SP.MA.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.7000007629395","49.7000007629395","50.7000007629395","","","46.2700004577637","43.4900016784668","41.3400001525879","","","42.8694000244141","43.2980995178223","44.9555015563965","46.6974983215332","46.7117004394531","46.0978012084961","46.2001991271973","47.782299041748","49.1748008728027","49.3993988037109","51.1176986694336","52.2775001525879",
"Macedonia, FYR","MKD","Employment to population ratio, 15+, female (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.6259994506836","26.6159992218018","26.6159992218018","26.2560005187988","25.9790000915527","25.5","25.1909999847412","25.6660003662109","27.0690002441406","26.6429996490479","28.0699996948242","28.2439994812012","27.0599994659424","24.8390007019043","25.8859996795654","26.2819995880127","27.636999130249","28.0440006256104","28.5249996185303","28.9930000305176","30.0629997253418","29.9659996032715","31.4979991912842","31.3549995422363","32.625","32.7299995422363","33.1980018615723",
"Macedonia, FYR","MKD","Employment to population ratio, 15+, female (%) (national estimate)","SL.EMP.TOTL.SP.FE.NE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.7000007629395","27.8999996185303","29.7999992370605","","","30.9400005340576","28.0699996948242","27.6499996185303","","","26.3286991119385","27.707799911499","28.1287002563477","28.6259994506836","29.0783004760742","30.1116008758545","29.9843997955322","31.5809001922607","31.4078006744385","32.5670013427734","32.6962013244629","33.399600982666",
"Macedonia, FYR","MKD","Female share of employment in senior and middle management (%)","SL.EMP.SMGT.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.2900009155273","23.2800006866455","24.6700000762939","25.9500007629395","23","27.2700004577637","22.5400009155273",
"Macedonia, FYR","MKD","Self-employed, total (% of total employment) (modeled ILO estimate)","SL.EMP.SELF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.9720001220703","22.3269996643066","21.2000007629395","24.0869998931885","24.3980007171631","25.1679992675781","23.9939994812012","24.8519992828369","25.2110004425049","26.9589996337891","25.125","26.6240005493164","26.2080001831055","27.556999206543","27.201000213623","26.8040008544922","27.4340000152588","28.423999786377","26.9290008544922","26.9340000152588","26.1259994506836","25.6000003814697","26.3209991455078","26.3990001678467","26.2320003509521","24.7810001373291","22.8980007171631",
